datetime,datetime_str,00010_Maximum,00010_Maximum_cd,site_no,00010_Minimum,00010_Minimum_cd,00010_Mean,00010_Mean_cd,00060_Mean,00060_Mean_cd,63680_Maximum,63680_Maximum_cd,63680_Minimum,63680_Minimum_cd,63680_Mean,63680_Mean_cd,datetime
2009-02-10 00:00:00-05:00,2009-02-10 00:00:00,,,015765185,,,,,1.0,"A, e",,,,,,,2009-02-10 00:00:00-05:00
2009-02-11 00:00:00-05:00,2009-02-11 00:00:00,,,015765185,,,,,1.09,"A, e",,,,,,,2009-02-11 00:00:00-05:00
2009-02-12 00:00:00-05:00,2009-02-12 00:00:00,,,015765185,,,,,1.05,A,,,,,,,2009-02-12 00:00:00-05:00
2009-02-13 00:00:00-05:00,2009-02-13 00:00:00,,,015765185,,,,,0.98,A,,,,,,,2009-02-13 00:00:00-05:00
2009-02-14 00:00:00-05:00,2009-02-14 00:00:00,,,015765185,,,,,0.98,A,,,,,,,2009-02-14 00:00:00-05:00
2009-02-15 00:00:00-05:00,2009-02-15 00:00:00,,,015765185,,,,,0.97,A,,,,,,,2009-02-15 00:00:00-05:00
2009-02-16 00:00:00-05:00,2009-02-16 00:00:00,,,015765185,,,,,0.95,A,,,,,,,2009-02-16 00:00:00-05:00
2009-02-17 00:00:00-05:00,2009-02-17 00:00:00,,,015765185,,,,,0.91,A,,,,,,,2009-02-17 00:00:00-05:00
2009-02-18 00:00:00-05:00,2009-02-18 00:00:00,,,015765185,,,,,1.12,A,,,,,,,2009-02-18 00:00:00-05:00
2009-02-19 00:00:00-05:00,2009-02-19 00:00:00,,,015765185,,,,,1.01,A,,,,,,,2009-02-19 00:00:00-05:00
2009-02-20 00:00:00-05:00,2009-02-20 00:00:00,,,015765185,,,,,0.88,A,,,,,,,2009-02-20 00:00:00-05:00
2009-02-21 00:00:00-05:00,2009-02-21 00:00:00,,,015765185,,,,,0.83,A,,,,,,,2009-02-21 00:00:00-05:00
2009-02-22 00:00:00-05:00,2009-02-22 00:00:00,,,015765185,,,,,0.84,A,,,,,,,2009-02-22 00:00:00-05:00
2009-02-23 00:00:00-05:00,2009-02-23 00:00:00,,,015765185,,,,,0.8,A,,,,,,,2009-02-23 00:00:00-05:00
2009-02-24 00:00:00-05:00,2009-02-24 00:00:00,,,015765185,,,,,0.96,A,,,,,,,2009-02-24 00:00:00-05:00
2009-02-25 00:00:00-05:00,2009-02-25 00:00:00,,,015765185,,,,,0.89,A,,,,,,,2009-02-25 00:00:00-05:00
2009-02-26 00:00:00-05:00,2009-02-26 00:00:00,,,015765185,,,,,0.9,"A, e",,,,,,,2009-02-26 00:00:00-05:00
2009-02-27 00:00:00-05:00,2009-02-27 00:00:00,,,015765185,,,,,0.95,"A, e",,,,,,,2009-02-27 00:00:00-05:00
2009-02-28 00:00:00-05:00,2009-02-28 00:00:00,,,015765185,,,,,0.9,"A, e",,,,,,,2009-02-28 00:00:00-05:00
2009-03-01 00:00:00-05:00,2009-03-01 00:00:00,,,015765185,,,,,0.85,"A, e",,,,,,,2009-03-01 00:00:00-05:00
2009-03-02 00:00:00-05:00,2009-03-02 00:00:00,,,015765185,,,,,0.9,"A, e",,,,,,,2009-03-02 00:00:00-05:00
2009-03-03 00:00:00-05:00,2009-03-03 00:00:00,,,015765185,,,,,0.85,"A, e",,,,,,,2009-03-03 00:00:00-05:00
2009-03-04 00:00:00-05:00,2009-03-04 00:00:00,,,015765185,,,,,0.85,"A, e",,,,,,,2009-03-04 00:00:00-05:00
2009-03-05 00:00:00-05:00,2009-03-05 00:00:00,,,015765185,,,,,0.9,"A, e",,,,,,,2009-03-05 00:00:00-05:00
2009-03-06 00:00:00-05:00,2009-03-06 00:00:00,,,015765185,,,,,0.95,"A, e",,,,,,,2009-03-06 00:00:00-05:00
2009-03-07 00:00:00-05:00,2009-03-07 00:00:00,,,015765185,,,,,0.85,"A, e",,,,,,,2009-03-07 00:00:00-05:00
2009-03-08 00:00:00-05:00,2009-03-08 00:00:00,,,015765185,,,,,0.8,"A, e",,,,,,,2009-03-08 00:00:00-05:00
2009-03-09 00:00:00-05:00,2009-03-09 00:00:00,,,015765185,,,,,0.75,"A, e",,,,,,,2009-03-09 00:00:00-05:00
2009-03-10 00:00:00-05:00,2009-03-10 00:00:00,,,015765185,,,,,0.75,"A, e",,,,,,,2009-03-10 00:00:00-05:00
2009-03-11 00:00:00-05:00,2009-03-11 00:00:00,,,015765185,,,,,0.8,"A, e",,,,,,,2009-03-11 00:00:00-05:00
2009-03-12 00:00:00-05:00,2009-03-12 00:00:00,,,015765185,,,,,0.75,"A, e",,,,,,,2009-03-12 00:00:00-05:00
2009-03-13 00:00:00-05:00,2009-03-13 00:00:00,,,015765185,,,,,0.7,"A, e",,,,,,,2009-03-13 00:00:00-05:00
2009-03-14 00:00:00-05:00,2009-03-14 00:00:00,,,015765185,,,,,0.65,"A, e",,,,,,,2009-03-14 00:00:00-05:00
2009-03-15 00:00:00-05:00,2009-03-15 00:00:00,,,015765185,,,,,0.6,"A, e",,,,,,,2009-03-15 00:00:00-05:00
2009-03-16 00:00:00-05:00,2009-03-16 00:00:00,,,015765185,,,,,0.6,"A, e",,,,,,,2009-03-16 00:00:00-05:00
2009-03-17 00:00:00-05:00,2009-03-17 00:00:00,,,015765185,,,,,0.7,"A, e",,,,,,,2009-03-17 00:00:00-05:00
2009-03-18 00:00:00-05:00,2009-03-18 00:00:00,,,015765185,,,,,0.65,"A, e",,,,,,,2009-03-18 00:00:00-05:00
2009-03-19 00:00:00-05:00,2009-03-19 00:00:00,,,015765185,,,,,0.7,"A, e",,,,,,,2009-03-19 00:00:00-05:00
2009-03-20 00:00:00-05:00,2009-03-20 00:00:00,,,015765185,,,,,0.52,A,,,,,,,2009-03-20 00:00:00-05:00
2009-03-21 00:00:00-05:00,2009-03-21 00:00:00,,,015765185,,,,,0.47,A,,,,,,,2009-03-21 00:00:00-05:00
